CustomerID,ItemID,Quantity
1,2211,2
1,7781,1
1,7452,5
1,5119,4
3,704,2
3,9043,1
4,6570,4
4,3435,2
4,7245,2
4,5270,5
5,6772,1
5,5600,1
5,3413,5
5,2131,4
6,3573,5
6,9362,1
6,2725,4
6,1806,5
7,146,1
7,6110,2
8,7488,2
8,8557,5
8,7956,2
8,7254,1
9,9414,4
9,3186,3
9,2745,3
10,6344,4
10,869,4
10,5860,3
11,9744,3
12,3782,3
12,7696,5
12,4455,1
12,8347,1
13,4868,1
13,7753,2
14,7203,1
14,4259,3
15,3327,1
15,6396,3
15,1983,4
15,4838,3
15,1246,3
16,6556,2
16,9130,1
16,9394,1
16,3874,2
18,2362,1
18,9876,5
20,407,1
20,4586,1
21,7683,2
21,9084,1
22,8774,5
22,1284,5
23,7885,3
23,2172,4
23,3746,4
24,598,2
24,7756,2
24,2484,5
24,9548,1
25,2485,4
25,2848,1
25,1685,1
25,4052,3
25,5990,4
26,148,2
26,1045,1
28,9559,4
28,8809,1
28,8131,4
28,8709,2
28,3529,1
29,8687,1
29,125,1
29,5950,1
29,6890,4
29,2095,5
30,9424,2
30,8843,1
30,4018,1
30,4577,2
30,9400,1
31,5415,2
32,6615,3
32,8378,5
32,8435,2
33,2768,5
33,137,5
33,9523,4
33,9076,5
34,1536,5
34,6359,5
34,6363,2
34,711,4
34,1812,3
35,7770,2
35,7558,5
35,5206,1
36,4090,4
36,1791,5
36,14,3
36,7090,4
36,6421,5
37,6459,1
38,8545,3
40,582,5
40,5907,4
40,5859,3
40,9497,1
41,1479,4
41,1607,1
41,9034,2
41,9717,4
42,1438,4
42,9449,3
44,5369,1
44,3103,4
45,7872,4
45,924,3
45,5997,5
45,5758,2
46,9689,2
47,9061,1
47,6351,4
48,2886,1
49,7156,4
50,8774,1
50,8437,3
50,3001,1
52,9314,4
52,674,5
52,4543,3
54,7608,3
54,6672,4
54,9962,2
54,6202,2
55,2665,4
55,7826,4
55,8453,2
57,9766,2
57,3604,3
58,3373,3
58,6873,4
58,747,3
58,1631,5
58,2759,4
59,3330,2
60,2828,5
60,9614,4
60,3132,5
60,7623,4
61,1387,4
61,6879,2
62,6012,3
62,2598,4
62,2521,4
62,3886,1
63,1786,1
63,4906,5
63,5322,4
63,7134,4
63,278,2
64,3580,1
64,8644,2
64,2132,5
64,1368,5
65,3571,5
65,8538,1
65,2262,5
65,9947,1
66,3392,3
68,8935,4
68,8966,4
68,5374,2
68,2954,3
68,2348,3
69,8586,1
69,9366,5
69,8975,1
69,926,5
69,7756,3
71,7226,4
71,4005,3
71,743,1
71,4712,4
72,4814,2
72,941,2
72,3180,2
72,4714,3
72,5080,1
74,9891,4
74,8485,3
74,2657,4
74,9146,3
75,2442,5
75,6555,4
75,9309,1
76,6712,5
76,3077,2
76,2060,4
76,2652,1
77,5579,2
77,2591,5
78,4367,4
79,9040,3
79,387,2
79,4848,1
79,4126,5
79,8460,5
80,1784,4
80,6097,2
81,8861,1
81,1655,2
84,5068,5
84,8182,5
84,1710,1
85,2936,3
85,1081,4
85,4172,1
85,6073,5
85,8551,3
86,624,5
87,8922,4
87,7974,2
87,2990,1
88,2151,3
89,6171,4
89,6632,1
89,3924,3
89,9388,2
89,2384,2
90,7517,5
90,5639,1
90,8196,2
90,9536,2
90,4391,2
93,3921,3
93,3902,5
93,1774,2
93,1187,5
93,2886,4
94,6292,4
95,582,2
96,9538,4
96,6859,1
96,3404,3
96,236,4
96,6972,2
97,3989,5
97,6274,3
98,5300,1
99,216,1
100,7138,2
100,3641,1
100,4394,3
101,7237,3
101,6060,5
103,5380,2
103,8522,3
103,9097,5
103,5602,4
104,4501,4
105,6603,2
105,7261,4
105,5170,5
105,6749,2
106,9613,3
106,7255,1
106,5537,4
106,5620,3
107,192,4
107,3051,4
107,5106,4
107,5027,3
108,1917,4
109,3083,5
109,6404,4
109,8684,4
111,8273,1
111,8289,3
111,2715,5
111,2359,1
112,2104,5
112,7457,2
112,6834,4
112,9018,5
113,428,1
113,9549,3
113,3299,1
113,4194,4
113,7125,4
114,4675,2
114,8758,5
114,3390,4
114,204,3
114,3599,3
115,2529,3
115,32,1
115,2856,3
116,4399,4
116,7889,3
116,5222,3
116,4690,5
117,8599,3
118,8223,3
118,2639,1
118,1123,1
120,1219,4
120,1465,1
120,2356,5
120,647,3
120,4774,4
121,1980,1
121,8289,2
121,110,1
122,1111,2
122,9233,5
122,843,3
122,2357,1
123,3109,3
123,6888,4
123,529,1
123,4058,3
123,3740,5
124,2542,3
124,5502,3
124,7632,3
124,2772,3
125,1053,5
125,8309,1
125,7834,5
126,6443,3
126,2484,2
127,9293,5
127,4920,3
128,5389,5
128,1714,4
128,2341,2
128,7749,5
129,6485,4
129,9750,1
129,2797,1
130,7647,1
130,202,4
130,6189,1
130,7860,3
131,1035,3
131,8407,1
131,6335,4
131,5549,3
131,5727,5
132,8272,1
132,561,5
132,8809,3
133,2016,4
133,9390,1
133,6724,3
133,1924,2
134,5160,4
134,1945,2
134,2024,4
134,2819,3
134,7139,3
135,3562,4
135,6559,4
135,5743,4
135,4051,5
136,7414,4
136,6275,5
136,4128,5
137,8057,5
138,2213,4
139,5764,1
139,713,4
141,3848,3
141,5166,1
142,9144,5
142,3984,2
142,8286,4
142,7342,4
142,6531,4
143,3497,4
143,7951,2
143,630,3
143,8745,3
144,1522,5
144,304,2
144,4608,3
144,6992,4
145,6827,3
147,7004,5
147,4415,4
147,8656,2
147,9798,5
149,9835,2
149,8453,3
149,5813,5
149,7964,5
150,7835,1
150,7972,4
150,6906,1
151,2016,3
151,9671,4
151,7533,4
151,5914,1
152,1535,2
152,5818,1
152,7362,4
153,9614,4
153,9744,5
153,3872,5
153,2894,3
154,9729,2
154,7599,2
155,8862,2
155,9950,1
156,7975,4
156,8774,3
156,9212,2
156,5414,3
157,6768,2
157,5949,4
157,2618,4
157,4920,3
158,9188,5
158,1407,5
158,6934,4
159,6845,4
159,1521,3
161,7004,5
161,4036,1
161,9299,3
161,7879,2
161,5662,3
162,9009,4
162,645,3
162,4264,5
163,7268,3
164,8499,2
164,2319,5
164,8989,4
164,9150,2
164,2337,5
167,3400,2
168,4047,2
168,5235,4
168,7782,2
168,6892,1
168,4645,1
169,5695,3
169,1278,3
170,2202,4
170,2057,5
171,9650,2
171,5053,4
171,5928,2
172,4224,2
172,9674,1
172,6971,2
172,4138,4
172,9022,1
173,7705,2
174,2745,3
174,2610,5
174,513,4
174,3251,1
174,2721,3
175,1381,2
175,5095,1
176,2087,4
177,3794,3
177,7796,2
177,374,2
177,8649,1
177,2998,2
178,353,3
178,796,2
178,458,3
179,1925,4
180,2252,4
180,8997,3
180,5618,4
181,5779,2
182,604,1
182,456,2
182,8507,4
182,2461,2
182,3161,3
183,2551,3
183,3871,2
183,3366,1
183,7655,3
183,3605,1
184,8422,5
185,8443,2
185,1502,1
185,1293,3
185,5360,2
185,8741,2
186,8815,1
186,533,2
186,8514,5
186,8509,1
187,9688,2
187,7700,5
188,295,2
188,2659,2
189,1334,5
189,1786,1
189,6006,5
190,1975,2
190,6896,4
190,1714,3
190,3522,3
191,3305,2
191,2790,1
192,7258,2
192,862,3
192,5162,1
192,4854,3
192,3346,2
193,3080,5
193,9921,5
193,1244,5
193,8380,1
193,7354,4
194,6399,2
194,5860,2
194,3238,4
194,5764,1
194,3832,2
195,4592,4
195,1880,2
196,7185,4
196,3242,2
196,8136,2
196,8531,1
198,7868,2
198,7012,2
200,2258,1
200,9142,5
200,3094,4
200,9243,2
200,454,5
201,5517,5
201,7397,3
202,3308,2
202,5301,4
202,8077,1
202,5902,4
203,7541,5
203,9472,1
203,8941,5
204,4175,3
206,4212,2
206,2380,1
206,2355,3
207,7223,3
207,475,4
208,8602,3
209,6753,3
210,8051,5
210,4229,3
210,4403,1
211,1869,1
211,7292,4
211,1289,3
211,5827,3
212,2905,1
212,9339,3
212,8371,5
212,2157,5
212,7165,2
214,9547,5
214,7506,2
217,887,2
217,8067,2
217,9999,3
217,8412,2
217,8395,3
218,4509,5
218,6547,1
218,4928,5
218,4180,3
219,6451,4
219,9428,4
219,3299,4
220,1299,1
222,6235,1
222,4907,5
222,6556,3
222,6391,4
223,4108,3
223,7083,5
224,5281,1
224,7890,3
224,5236,1
224,4066,2
224,1527,5
225,2798,5
225,9464,2
225,9005,2
225,2961,2
225,1568,4
226,5199,1
226,4178,3
226,2459,2
226,567,4
227,2916,3
227,4737,4
228,8412,5
228,6081,1
228,1360,5
230,3058,2
230,7640,2
230,7592,3
230,6031,1
230,5741,3
231,8144,4
232,4969,3
232,1388,5
232,7223,4
232,5322,2
234,4245,3
234,1075,4
234,4317,2
235,7089,5
235,2316,1
235,7059,3
236,2897,3
236,9428,5
236,5337,1
236,196,3
237,5518,2
237,6249,3
238,6102,3
238,9091,1
238,9648,5
238,4628,4
238,9487,3
240,1207,5
240,6594,1
240,7902,5
241,5725,5
241,1523,2
241,5370,4
241,9339,3
241,6246,5
242,1344,5
242,2357,5
246,1021,1
246,6210,5
246,5572,4
246,2255,5
246,8960,3
247,7525,3
247,3973,5
247,1138,2
247,8994,3
248,7917,5
248,7293,5
248,2804,2
249,9661,2
249,7015,1
250,661,4
250,3899,3
250,8586,2
252,3696,1
253,3773,1
254,2331,1
255,2632,3
255,9906,5
258,1073,1
259,6886,4
259,2979,5
259,2635,2
259,3819,5
260,5825,1
260,2722,3
260,4868,2
261,6017,5
261,7280,3
261,4470,1
261,4686,1
262,1003,3
262,22,5
262,5444,3
262,7710,4
262,1109,1
263,6579,3
263,4965,5
263,7737,2
264,1559,2
264,3986,4
264,4990,3
265,4695,3
265,9574,5
265,9445,1
265,6143,1
265,6110,5
266,6123,2
266,780,4
266,2836,5
266,2756,4
266,2421,3
267,7375,4
268,6669,5
268,4546,4
268,5810,3
269,4170,3
269,1266,1
269,8296,4
269,1699,4
269,1050,2
270,3281,5
270,7750,5
270,6736,1
270,2564,4
270,3804,3
271,6516,5
271,293,2
272,9587,5
273,7656,3
273,1676,5
273,3125,3
273,4345,4
273,8038,2
274,5997,2
274,8213,1
274,9565,1
274,7942,4
274,1749,3
275,8039,1
275,912,1
275,3074,2
275,2800,4
275,6508,2
276,979,5
277,695,3
277,6129,5
278,8696,3
278,511,5
279,5104,3
279,9391,3
279,5665,1
279,1627,2
279,1610,2
281,9161,4
281,6136,4
282,1684,3
282,4614,4
282,1372,2
283,9196,3
283,4162,3
283,786,4
284,5185,4
284,3150,3
284,4209,2
284,3313,5
285,2744,2
285,4645,2
285,1998,1
285,410,4
285,35,2
286,7042,5
286,3689,4
286,9764,1
288,8284,2
288,2641,5
288,8166,5
289,9041,2
289,8977,5
290,1038,1
290,2568,2
290,9358,3
290,4013,1
291,4570,5
291,5951,4
291,2504,5
291,9349,3
292,2084,4
292,5686,2
292,4639,4
292,9700,2
294,52,4
294,7848,2
295,2132,1
295,5689,4
296,4609,5
296,2313,3
296,3534,4
297,3934,1
297,5013,4
297,8191,3
297,6011,5
297,5646,1
299,3965,5
299,1798,5
299,2801,5
299,7621,5
299,2569,2
300,1043,4
300,847,5
300,4837,2
300,6428,2
300,5315,5
301,4485,3
302,554,2
302,8738,1
302,685,1
302,8424,4
302,2305,1
303,3627,4
303,2419,3
303,1153,1
303,6828,5
304,6909,3
304,9937,3
304,2530,3
305,7771,5
305,6606,3
305,3341,3
305,4886,5
306,7080,2
306,1307,3
306,546,3
306,6027,3
307,8847,3
307,5774,4
307,3339,5
307,8411,4
308,7050,2
308,8424,2
309,7325,1
309,3013,3
309,7674,4
310,3079,5
311,4760,3
311,1270,4
311,6435,4
312,7362,5
312,4097,1
312,1682,2
312,1434,2
313,6567,4
313,8805,2
313,8846,3
314,4521,5
316,1948,5
316,4603,1
317,1787,3
320,3340,2
321,9093,4
321,7926,4
321,5072,2
322,3259,5
322,2589,1
322,5651,3
322,2098,5
323,8690,3
324,1161,5
325,9431,3
326,6789,5
326,3218,1
326,5274,3
326,146,1
326,1487,2
327,9302,5
327,4148,3
327,9357,1
327,4998,5
328,8619,3
328,5698,3
329,590,2
329,9434,1
329,5064,5
329,6261,2
330,2772,5
331,306,4
331,298,5
331,608,5
332,4478,1
332,8713,4
332,3277,3
333,4917,2
333,7902,5
334,6438,3
335,9648,3
335,7287,3
335,4379,5
335,8205,3
335,6329,3
336,1948,3
336,7539,5
336,2522,3
336,412,4
336,1003,5
339,2679,3
339,5306,1
339,1308,5
339,8160,3
341,414,3
341,8461,5
342,8460,5
343,5811,2
345,9484,5
345,4139,3
345,6452,2
346,1271,5
349,4651,4
349,6803,3
349,3864,1
349,7700,3
349,2488,3
350,4013,1
350,9148,1
350,3385,1
351,6751,2
351,9185,5
351,676,5
351,6833,3
352,4038,3
352,1371,5
352,6793,2
354,2561,2
355,2170,1
355,33,1
357,839,5
357,6761,3
357,9031,3
358,8296,3
358,2373,1
359,8411,2
359,494,1
360,150,3
360,7584,1
360,2713,4
360,1227,4
363,1343,3
363,4036,4
363,4777,1
363,1619,2
364,2985,1
365,5277,2
366,6051,4
366,3645,3
366,7757,3
366,4082,2
366,3874,4
367,9367,4
367,8789,2
368,7633,4
368,3313,2
369,1050,5
370,6611,3
370,9599,5
372,5104,1
372,6835,4
372,9987,4
373,2087,2
373,6404,2
373,7700,4
373,5218,1
373,7561,2
374,3335,1
374,4685,5
374,4163,5
375,2267,1
375,5055,4
375,4388,3
376,8485,3
376,5589,5
376,7797,5
376,3499,1
377,1818,4
378,5726,5
378,8838,4
378,8506,3
378,299,1
380,4750,3
380,2669,5
381,4005,4
382,710,5
382,7913,3
383,5382,5
383,2291,3
383,3791,1
383,9958,2
383,9883,4
384,9161,4
384,5932,2
384,1535,3
384,2883,1
386,8475,4
386,1060,2
386,3636,3
386,5892,4
387,8794,3
387,7408,2
387,4599,1
387,1431,3
388,3377,4
388,2599,5
388,9207,3
388,4814,5
388,3931,5
389,464,5
389,8918,1
389,6469,3
389,9968,2
389,8241,4
390,5607,1
390,678,4
391,9737,1
392,4859,3
392,4066,2
392,6899,2
392,1827,2
392,7110,3
393,4840,1
393,2357,5
393,2820,4
393,5650,2
394,6068,4
395,3041,4
396,8906,5
397,5669,3
397,6784,5
399,1673,5
400,1974,1
400,2000,5
401,2190,2
401,291,5
401,8614,2
401,4526,3
403,7434,2
403,4632,3
403,2384,5
403,9594,3
404,7422,5
404,3448,1
404,5824,4
404,1613,4
405,6671,3
407,4200,4
408,8607,5
408,637,5
408,9956,3
408,7504,2
409,5057,4
409,1578,1
409,1724,1
409,5139,4
410,3301,4
410,1800,1
410,1872,2
410,6539,2
411,1492,4
413,333,4
414,4352,2
414,4275,4
414,6643,5
414,4359,2
416,1036,3
416,6743,5
420,5283,5
421,5490,5
421,9195,1
422,1872,3
422,1212,5
422,3549,1
422,326,2
423,5881,5
423,171,1
423,7421,4
423,8333,1
423,5592,3
424,3960,2
425,9357,4
426,5877,4
426,6076,1
427,7550,5
427,9101,3
428,1405,4
429,4430,5
429,2423,2
429,4635,2
429,9642,4
430,7277,3
430,7757,1
431,8563,3
431,5423,3
432,9250,1
432,2436,3
432,7999,3
433,6705,1
433,4485,2
433,8447,4
433,9762,4
433,2894,3
434,7823,2
434,1680,4
434,6335,4
434,6394,3
437,1593,4
438,3706,4
440,8435,4
440,7693,1
441,3753,2
441,8306,2
441,6269,3
443,1786,1
444,5816,4
444,3466,4
447,1037,1
447,3506,3
447,2389,1
448,4659,2
448,909,1
448,8970,4
449,1695,5
450,1094,2
450,1679,5
450,3952,5
451,4172,3
451,6370,5
451,1896,2
452,2201,4
452,1419,2
452,5172,2
452,1199,3
453,7771,1
453,2622,1
453,3333,2
453,2809,4
455,6549,5
455,8124,4
456,8970,1
457,7597,5
457,293,4
458,1462,4
458,1672,3
458,6216,4
458,1581,5
458,5968,2
459,6525,5
459,6550,2
460,3675,5
462,3590,3
462,5149,2
462,4360,2
462,2354,1
463,333,3
463,9849,4
463,5449,3
464,2666,2
464,9502,1
464,4995,1
464,8515,5
464,7055,4
465,4258,2
465,7788,2
466,9147,1
466,5094,2
466,1117,2
467,6564,4
467,176,1
467,4049,5
467,899,3
468,2294,4
470,9987,4
470,4665,5
471,5147,5
471,9913,1
471,8176,1
471,8729,2
471,985,3
472,9641,4
472,1451,5
472,3552,1
473,3106,2
473,1865,3
473,752,5
474,7059,5
476,5453,1
476,7005,3
476,991,2
478,5343,4
478,27,1
478,4702,4
478,4295,3
478,4942,3
479,5023,5
479,7928,3
480,1903,5
480,8880,4
480,7119,4
480,5921,1
481,1803,4
481,867,1
481,4694,5
482,1635,5
482,5000,2
483,7324,3
483,4978,5
483,2377,2
483,4010,4
485,5155,5
485,2340,2
485,4154,4
486,5336,2
487,2694,2
487,9964,3
488,4795,4
488,3539,5
488,7370,1
489,5165,1
489,6657,5
489,520,2
490,8496,4
490,7603,2
490,9346,4
491,3696,1
491,9134,2
491,9940,5
491,6919,3
491,7581,4
492,6044,2
492,3251,1
492,8450,3
492,4996,1
493,6696,3
494,8008,5
494,4360,5
494,1690,5
494,4243,3
495,27,3
495,7374,5
496,9795,2
496,6805,5
496,719,2
496,9326,3
496,8947,4
498,9000,2
498,3307,1
498,1052,5
498,4259,4
498,8197,2
500,6852,1
500,9103,3
500,971,2
500,1023,1
500,4080,5
505,211,3
505,2712,2
505,9321,5
505,840,2
507,708,3
507,6594,1
507,4582,5
508,8209,1
508,5955,5
508,8248,3
510,3102,5
510,5751,5
510,8798,4
510,3040,3
511,2115,4
511,1414,1
512,6012,2
512,4093,5
512,8671,5
512,2129,3
512,4021,5
513,5701,4
513,4757,4
513,4061,3
513,944,1
514,1639,3
514,5912,5
515,2453,3
515,6525,5
515,1911,1
515,6701,5
516,2131,4
516,5769,1
517,5999,5
517,7155,2
519,7851,1
520,7073,3
520,7328,4
520,7832,4
520,451,1
521,3591,2
521,7548,2
521,6160,4
522,3355,1
522,812,5
522,934,3
522,4006,2
522,6086,3
524,1340,1
525,4114,3
525,570,5
525,1337,5
525,1469,4
526,2078,4
526,4006,3
526,164,5
526,8362,4
526,8207,4
527,3472,1
527,2525,2
527,7010,1
527,2800,1
527,9989,1
529,1665,5
529,7226,1
529,7298,1
529,6182,4
530,2742,5
530,2931,3
530,5667,4
530,3844,3
530,743,4
531,4895,2
531,8551,2
531,5002,3
531,7781,5
532,5929,3
532,6863,4
532,6596,2
532,2856,1
532,237,5
533,6145,4
533,1963,4
535,9907,4
535,4814,3
535,6580,4
535,6160,5
535,1234,2
536,4295,5
536,6614,3
536,9653,3
536,7163,5
538,2871,2
538,3214,3
538,5971,4
539,4696,4
539,6592,5
540,3073,2
540,7543,2
541,4720,2
541,9456,4
541,5146,3
541,170,5
541,2082,4
542,5487,2
542,4053,5
542,1443,2
542,4306,5
543,6735,2
543,871,1
543,2613,1
544,6940,2
544,6652,4
546,3180,1
546,5099,4
546,9831,3
546,6056,2
546,9235,3
547,451,1
547,6801,4
547,7081,1
547,4136,1
547,3053,1
548,6677,3
548,2441,1
548,2275,3
550,9517,5
551,8026,3
551,2065,1
553,2479,4
553,5428,5
553,949,5
554,190,3
555,4791,2
555,3230,5
555,5695,2
555,729,4
556,5816,3
556,4365,5
556,1001,3
556,3420,5
556,9878,4
559,387,1
559,757,1
559,657,4
560,7729,1
560,5442,2
561,4367,2
562,5957,4
562,7566,1
563,6821,2
563,2878,5
563,1270,5
563,5759,2
563,4931,5
564,8062,4
565,6168,4
566,7581,2
566,3285,3
567,2965,3
567,7851,2
567,3483,2
567,6986,3
568,1522,2
568,9127,5
568,2836,4
569,6975,4
569,4215,3
569,3281,1
569,163,5
570,9567,1
570,8234,1
570,4439,3
571,9846,5
571,4777,2
571,8281,5
571,7144,2
571,3144,3
